H                            InChI=1S/H
IC4H8OH-BOOH                 InChI=1S/C4H10O3/c1-4(2,3-5)7-6/h5-6H,3H2,1-2H3
C4H4                         InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2
SC4H8OH-1                    InChI=1S/C4H9O/c1-3-4(2)5/h4-5H,2-3H2,1H3
C4H8OOH1-3                   InChI=1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3
IQC4H7OH                     InChI=1S/C4H10O3/c1-4(2,5)3-7-6/h5-6H,3H2,1-2H3
CHCCH2CH2                    InChI=1S/C4H5/c1-3-4-2/h1H,2,4H2
SC4H8OH-2                    InChI=1S/C4H9O/c1-3-4(2)5/h5H,3H2,1-2H3
C4H8OOH1-4                   InChI=1S/C4H9O2/c1-2-3-4-6-5/h5H,1-4H2
IC4H8OH-AOOH                 InChI=1S/C4H10O3/c1-4(2-5)3-7-6/h4-6H,2-3H2,1H3
CHCCHCH3                     InChI=1S/C4H5/c1-3-4-2/h1,4H,2H3
IC4H8OH-C                    InChI=1S/C4H9O/c1-4(2)3-5/h3-5H,1-2H3
C4H8OOH2-1                   InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3
SC4H8OH-4O2H                 InChI=1S/C4H10O3/c1-4(5)2-3-7-6/h4-6H,2-3H2,1H3
C4H5-I                       InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2
IC4H8OH                      InChI=1S/C4H9O/c1-4(2)3-5/h4-5H,1,3H2,2H3
C4H8OOH2-3                   InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3
PC4H8OH-3O2H                 InChI=1S/C4H10O3/c1-4(7-6)2-3-5/h4-6H,2-3H2,1H3
C4H5-N                       InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2
IC4H8OH-IT                   InChI=1S/C4H9O/c1-4(2)3-5/h5H,3H2,1-2H3
C4H8OOH2-4                   InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3
PC4H8OH-4O2H                 InChI=1S/C4H10O3/c5-3-1-2-4-7-6/h5-6H,1-4H2
C4H5-2                       InChI=1S/C4H5/c1-3-4-2/h1H2,2H3
IC4H8OH-TI                   InChI=1S/C4H9O/c1-4(2,3)5/h5H,1H2,2-3H3
IC4H9O2                      InChI=1S/C4H9O2/c1-4(2)3-6-5/h4H,3H2,1-2H3
MP3JVO2VO                    InChI=1S/C4H3O4/c1-8-4(7)3(6)2-5/h1H3
C4H6-1                       InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3
PC4H9O                       InChI=1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3
TC4H9O2                      InChI=1S/C4H9O2/c1-4(2,3)6-5/h1-3H3
MP3VO2VO                     InChI=1S/C4H4O4/c1-8-4(7)3(6)2-5/h2H,1H3
C4H6                         InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2
SC4H9O                       InChI=1S/C4H9O/c1-3-4(2)5/h4H,3H2,1-2H3
IC4H8O2H-I                   InChI=1S/C4H9O2/c1-4(2)3-6-5/h4-5H,1,3H2,2H3
CH3OCCOHOOCH2                InChI=1S/C4H6O4/c1-3(5)4(6)2-8-7/h7H,2H2,1H3
C4H612                       InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3
TC4H9O                       InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3
IC4H8O2H-T                   InChI=1S/C4H9O2/c1-4(2)3-6-5/h5H,3H2,1-2H3
OCHHOOCHCOCH3                InChI=1S/C4H6O4/c1-3(6)4(2-5)8-7/h2,4,7H,1H3
C4H6-2                       InChI=1S/C4H6/c1-3-4-2/h1-2H3
IC4H9O                       InChI=1S/C4H9O/c1-4(2)3-5/h4H,3H2,1-2H3
TC4H8O2H-I                   InChI=1S/C4H9O2/c1-4(2,3)6-5/h5H,1H2,2-3H3
CC(OO)CVOCVO                 InChI=1S/C4H6O4/c1-3(8-7)4(6)2-5/h2-3,7H,1H3
IC4H7-I1                     InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3
NC4H9OH                      InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3
PC4H9O2H                     InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3
OCHCH2COHOOCH2               InChI=1S/C4H6O4/c5-2-1-4(6)3-8-7/h2,7H,1,3H2
IC4H7                        InChI=1S/C4H7/c1-4(2)3/h1-2H2,3H3
SC4H9OH                      InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3
SC4H9O2H                     InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3
C4H71-1                      InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3
IC4H9OH                      InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3
IC4H9O2H                     InChI=1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3
C4Y2OH4-3O2                  InChI=1S/C4H7O4/c1-3(6)4(2-5)8-7/h4-5H,2H2,1H3
C4H71-2                      InChI=1S/C4H7/c1-3-4-2/h1,4H2,2H3
TC4H9OH                      InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3
TC4H9O2H                     InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3
C4H71-3                      InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3
F2OJ                         InChI=1S/C4H3O2/c5-4-2-1-3-6-4/h1-3H
C2H5OCOCHOO                  InChI=1S/C4H7O4/c1-2-7-4(5)3-8-6/h2-3H2,1H3
C4H71-4                      InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2
OVCCVCCJVO                   InChI=1S/C4H3O2/c5-3-1-2-4-6/h1-3H
MP3JVO                       InChI=1S/C4H5O3/c1-7-4(6)2-3-5/h2H2,1H3
CVC(COOJ)COOH                InChI=1S/C4H7O4/c1-4(2-7-5)3-8-6/h5H,1-3H2
C4H72-2                      InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3
B23DE1O4OH                   InChI=1S/C4H4O2/c5-3-1-2-4-6/h1,3-4,6H
CC(OOJ)CVOCO                 InChI=1S/C4H7O4/c1-3(8-7)4(6)2-5/h3,5H,2H2,1H3
IC4H8                        InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3
F2OH                         InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1-3,5H
